Well	Surface	MD	missing	Type
Yabl_007	M-4_top	3384.0	-999	HORIZON
Yabl_007	M-4_base	3403.0	-999	HORIZON
Yabl_007	M-5v_top	3418.0	-999	HORIZON
Yabl_007	M-5v_base	3433.0	-999	HORIZON
Yabl_007	M-5n_top	3460.0	-999	HORIZON
Yabl_007	M-5n_base	3478.0	-999	HORIZON
Yabl_007	M-6_top	3509.0	-999	HORIZON
Yabl_007	M-6_base	3599.0	-999	HORIZON
Yabl_007	M-7_top	3616.0	-999	HORIZON
Yabl_007	M-7_base	3691.0	-999	HORIZON
Yabl_007	B-3_top	3704.0	-999	HORIZON
Yabl_007	B-3_base	3711.0	-999	HORIZON
Yabl_007	B-4_top	3721.0	-999	HORIZON
Yabl_007	B-4_base	3746.0	-999	HORIZON
Yabl_007	B-5_top	3758.0	-999	HORIZON
Yabl_007	B-5_base	3805.0	-999	HORIZON
Yabl_007	B-6_top	3816.0	-999	HORIZON
Yabl_007	B-6_base	3852.0	-999	HORIZON
Yabl_007	B-8_top	3866.0	-999	HORIZON
Yabl_007	B-8_base	3883.0	-999	HORIZON
Yabl_007	B-10_top	3935.0	-999	HORIZON
Yabl_007	B-10_base	3960.0	-999	HORIZON
Yabl_007	B-11_top	3977.0	-999	HORIZON
Yabl_007	B-11_base	3996.0	-999	HORIZON
Yabl_007	S-8_top	4027.0	-999	HORIZON
Yabl_007	S-8_base	4042.0	-999	HORIZON
Yabl_007	S-23_top	4116.0	-999	HORIZON
Yabl_007	S-23_base	4166.0	-999	HORIZON
Yabl_007	V-15_top	4252.0	-999	HORIZON
Yabl_007	V-15_base	4289.0	-999	HORIZON
Yabl_007	V-16_top	4300.0	-999	HORIZON
Yabl_007	V-16_base	4337.0	-999	HORIZON
Yabl_007	V-17v_top	4344.0	-999	HORIZON
Yabl_007	V-17v_base	4412.0	-999	HORIZON
Yabl_007	V-17v1_top	4344.0	-999	HORIZON
Yabl_007	V-17v1_base	4349.0	-999	HORIZON
Yabl_007	V-17v2_top	4350.0	-999	HORIZON
Yabl_007	V-17v2_base	4390.0	-999	HORIZON
Yabl_007	V-17v3_top	4395.0	-999	HORIZON
Yabl_007	V-17v3_base	4412.0	-999	HORIZON
Yabl_007	V-18_top	4430.0	-999	HORIZON
Yabl_007	V-18_base	4469.0	-999	HORIZON
Yabl_007	V-18s_top	4428.0	-999	HORIZON
Yabl_007	V-18s_base	4452.0	-999	HORIZON
Yabl_007	V-18n_top	4455.0	-999	HORIZON
Yabl_007	V-18n_base	4469.0	-999	HORIZON
Yabl_007	V-19_top	4476.0	-999	HORIZON
Yabl_007	V-19_base	4488.0	-999	HORIZON
Yabl_007	V-20_top	4512.0	-999	HORIZON
Yabl_007	V-20_base	4537.0	-999	HORIZON
Yabl_007	V-21_top	4537.0	-999	HORIZON
Yabl_007	V-21_base	4562.0	-999	HORIZON
Yabl_007	V-22_top	4614.0	-999	HORIZON
Yabl_007	V-22_base	4682.0	-999	HORIZON
Yabl_007	V-22v_top	4614.0	-999	HORIZON
Yabl_007	V-22v_base	4632.0	-999	HORIZON
Yabl_007	V-22n_top	4647.0	-999	HORIZON
Yabl_007	V-22n_base	4682.0	-999	HORIZON
Yabl_007	V-23_top	4735.0	-999	HORIZON
Yabl_007	V-23_base	4770.0	-999	HORIZON
Yabl_007	V-24_top	4770.0	-999	HORIZON
Yabl_007	V-25_base	4912.0	-999	HORIZON
Yabl_007	V-26_top	4930.0	-999	HORIZON
Yabl_007	V-26_base	5049.0	-999	HORIZON
Yabl_007	T-1_top	5049.0	-999	HORIZON
Yabl_007	T-1_base	5189.0	-999	HORIZON
Yabl_007	D3fm2 (oz-hv)_top	5189.0	-999	HORIZON
Yabl_007	D3fm2 (oz-hv)_base	5219.0	-999	HORIZON
Yabl_007	D3fm2 (dn-lb)_top	5219.0	-999	HORIZON
Yabl_007	D3fm2 (dn-lb)_base	5242.0	-999	HORIZON
Yabl_008	M-1_top	3097.0	-999	HORIZON
Yabl_008	M1_base	3147.0	-999	HORIZON
